id,code,element_type,now_cost,name,team,team_code,goals_scored,assists,own_goals,penalties_missed,total_points,points_per_game,team_name,position,updated_at
1,154561,1,5.5,David Raya Martín,1,3,0,0,0,0,142,3.7,Arsenal,GKP,2025-08-09 15:03:09
2,109745,1,4.5,Kepa Arrizabalaga Revuelta,1,3,0,0,0,0,106,3.4,Arsenal,GKP,2025-08-09 15:03:09
3,463748,1,4.0,Karl Hein,1,3,0,0,0,0,0,0.0,Arsenal,GKP,2025-08-09 15:03:09
4,551221,1,4.0,Tommy Setford,1,3,0,0,0,0,0,0.0,Arsenal,GKP,2025-08-09 15:03:09
5,226597,2,6.0,Gabriel dos Santos Magalhães,1,3,3,2,0,0,117,4.2,Arsenal,DEF,2025-08-09 15:03:09
6,462424,2,6.0,William Saliba,1,3,2,0,0,0,130,3.7,Arsenal,DEF,2025-08-09 15:03:09
7,466075,2,5.5,Riccardo Calafiori,1,3,2,1,0,0,39,2.1,Arsenal,DEF,2025-08-09 15:03:09
8,445122,2,5.5,Jurriën Timber,1,3,1,3,0,0,114,3.8,Arsenal,DEF,2025-08-09 15:03:09
9,440854,2,5.5,Jakub Kiwior,1,3,1,0,0,0,43,2.5,Arsenal,DEF,2025-08-09 15:03:09
10,499169,2,5.5,Myles Lewis-Skelly,1,3,1,0,0,0,37,1.6,Arsenal,DEF,2025-08-09 15:03:09
11,198869,2,5.5,Benjamin White,1,3,0,2,0,0,50,2.9,Arsenal,DEF,2025-08-09 15:03:09
12,206325,2,5.0,Oleksandr Zinchenko,1,3,0,1,0,0,40,2.7,Arsenal,DEF,2025-08-09 15:03:09
13,563324,2,4.0,Brayden Clarke,1,3,0,0,0,0,0,0.0,Arsenal,DEF,2025-08-09 15:03:09
14,588793,2,4.0,Maldini Kacurri,1,3,0,0,0,0,0,0.0,Arsenal,DEF,2025-08-09 15:03:09
15,499167,2,4.0,Josh Nichols,1,3,0,0,0,0,0,0.0,Arsenal,DEF,2025-08-09 15:03:09
16,223340,3,10.0,Bukayo Saka,1,3,6,11,0,0,127,5.1,Arsenal,MID,2025-08-09 15:03:09
17,184029,3,8.0,Martin Ødegaard,1,3,3,9,0,0,116,3.9,Arsenal,MID,2025-08-09 15:03:09
18,248857,3,7.0,Noni Madueke,1,3,7,5,0,0,120,3.8,Arsenal,MID,2025-08-09 15:03:09
19,444145,3,7.0,Gabriel Martinelli Silva,1,3,8,4,0,0,125,3.8,Arsenal,MID,2025-08-09 15:03:09
20,116216,3,7.0,Leandro Trossard,1,3,8,8,0,0,152,4.0,Arsenal,MID,2025-08-09 15:03:09
21,204480,3,6.5,Declan Rice,1,3,4,7,0,0,127,3.6,Arsenal,MID,2025-08-09 15:03:09
22,195384,3,6.0,Mikel Merino Zazón,1,3,7,2,0,0,92,3.3,Arsenal,MID,2025-08-09 15:03:09
23,438098,3,5.5,Fábio Ferreira Vieira,1,3,0,0,0,0,0,0.0,Arsenal,MID,2025-08-09 15:03:09
24,128295,3,5.5,Christian Nørgaard,1,3,5,5,0,0,107,3.1,Arsenal,MID,2025-08-09 15:03:09
25,499175,3,5.5,Ethan Nwaneri,1,3,4,2,0,0,66,2.5,Arsenal,MID,2025-08-09 15:03:09
26,481655,3,5.5,Martín Zubimendi Ibáñez,1,3,0,0,0,0,0,0.0,Arsenal,MID,2025-08-09 15:03:09
27,200641,3,5.0,Reiss Nelson,1,3,1,1,0,0,27,2.2,Arsenal,MID,2025-08-09 15:03:09
28,588796,3,4.5,Ismeal Kabia,1,3,0,0,0,0,0,0.0,Arsenal,MID,2025-08-09 15:03:09
29,437742,3,4.5,Albert Sambi Lokonga,1,3,0,0,0,0,0,0.0,Arsenal,MID,2025-08-09 15:03:09
30,219847,4,7.5,Kai Havertz,1,3,9,3,0,0,97,4.2,Arsenal,FWD,2025-08-09 15:03:09
31,205651,4,6.5,Gabriel Fernando de Jesus,1,3,3,2,0,0,42,2.5,Arsenal,FWD,2025-08-09 15:03:09
662,500040,2,5.5,Cristhian Mosquera,1,3,0,0,0,0,0,0.0,Arsenal,DEF,2025-08-09 15:03:09
666,224117,4,9.0,Viktor Gyökeres,1,3,0,0,0,0,0,0.0,Arsenal,FWD,2025-08-09 15:03:09
32,98980,1,5.0,Emiliano Martínez Romero,2,7,0,0,0,0,111,3.0,Aston Villa,GKP,2025-08-09 15:03:09
33,72147,1,4.5,Marco Bizot,2,7,0,0,0,0,0,0.0,Aston Villa,GKP,2025-08-09 15:03:09
34,462492,1,4.0,Joe Gauci,2,7,0,0,0,0,0,0.0,Aston Villa,GKP,2025-08-09 15:03:09
35,462381,1,4.0,Filip Marschall,2,7,0,0,0,0,0,0.0,Aston Villa,GKP,2025-08-09 15:03:09
36,199796,2,4.5,Matty Cash,2,7,1,1,0,0,76,2.8,Aston Villa,DEF,2025-08-09 15:03:09
37,101188,2,4.5,Lucas Digne,2,7,0,5,0,0,89,2.8,Aston Villa,DEF,2025-08-09 15:03:09
38,199798,2,4.5,Ezri Konsa Ngoyo,2,7,2,0,0,0,103,3.0,Aston Villa,DEF,2025-08-09 15:03:09
39,441302,2,4.5,Ian Maatsen,2,7,1,2,0,0,57,2.0,Aston Villa,DEF,2025-08-09 15:03:09
40,149484,2,4.5,Tyrone Mings,2,7,0,1,0,0,47,3.4,Aston Villa,DEF,2025-08-09 15:03:09
41,244954,2,4.5,Pau Torres,2,7,0,0,0,0,55,2.3,Aston Villa,DEF,2025-08-09 15:03:09
42,606798,2,4.0,Andrés García,2,7,0,0,0,0,8,1.1,Aston Villa,DEF,2025-08-09 15:03:09
